lsgd_id,lsgd_name,lsgd_type,district,elevation,slope,rainfall_7day_mm,event_year_x,dist_to_water_m,vegetation,builtup,fatalities,no_of_landslides,agri_crop_loss_ha,fully_damaged_houses,severely_damaged_houses,roads_damaged_km,bridges_damaged,severity_score,flood_risk_level,landslide_risk_level,flood_occurred,landslide_occurred,event_year_y,flood_area_pct,landslide_count_real,soil_texture_class,flow_accumulation,flood_occurred_real,landslide_occurred_real
1,Vorkady,gram_panchayat,Kasaragod,59.01123032785529,7.386920036335072,285.2,2018,4374.37438853404,0.9373671866490988,0.0120077780352804,,,,,,,,,,,,,,0.0466765045143912,0.0,6.0,31.22597563337573,0,0
2,Manjeswaram,gram_panchayat,Kasaragod,21.38061865331596,4.270907980949784,230.5,2018,1516.3654863938173,0.8009159869733693,0.0800759548458796,,,,,,,,,,,,,,0.0,0.0,4.0,22.96966647964591,0,0
3,Paivalike,gram_panchayat,Kasaragod,88.46524330941057,8.79888887782786,285.9,2018,7627.278746228448,0.8772753142662825,0.0132389161592969,,,,,,,,,,,,,,0.0489515873471619,0.0,6.0,45.74132286945988,0,0
4,Meenja,gram_panchayat,Kasaragod,52.72699181490389,6.329972347172848,252.0,2018,3464.459376285735,0.8502218946782496,0.0185893805031928,,,,,,,,,,,,,,0.0478335778179224,0.0,5.999999999999998,92.9983024782998,0,0
5,Mangalpaddy,gram_panchayat,Kasaragod,23.91382914072559,4.745512182350618,252.0,2018,1553.752486796696,0.8563073486120178,0.0498638137466552,,,,,,,,,,,,,,0.0823285061647822,0.0,6.000000000000003,181.9845309434641,1,0
6,Puthige,gram_panchayat,Kasaragod,63.35226039470457,7.067673175765277,313.0,2018,6559.025240488903,0.8331728019489135,0.0183546425927792,,,,,,,,,,,,,,0.0457247283767027,1.0,6.0,162.7385891617471,0,1
7,Kumbala,gram_panchayat,Kasaragod,34.247225687668774,4.896885749101608,313.0,2018,1745.5288005449825,0.7699289757683,0.0391074222932679,,,,,,,,,,,,,,0.0611032477523027,0.0,6.000000000000002,162.54515209933737,1,0
8,Enmakaje,gram_panchayat,Kasaragod,113.88652029480856,9.971823703980574,241.7,2018,13595.133291145126,0.9357836109140516,0.0067617597561695,,,,,,,,,,,,,,0.0353721391664083,1.0,6.0,71.34040101654037,0,1
9,Madhur,gram_panchayat,Kasaragod,35.767958343079094,5.175205893990116,325.7,2018,3782.342002091833,0.8758023718761023,0.0567147183086126,,,,,,,,,,,,,,0.0420872107861941,0.0,6.0,33.52963720211733,0,0
10,Mogral-Puthur,gram_panchayat,Kasaragod,22.77673297207847,3.890274769182036,325.7,2018,1067.5990571728148,0.8378297934016374,0.0401764812382319,,,,,,,,,,,,,,0.0305542294171259,0.0,6.0,19.688538058073075,0,0
11,Badiadka,gram_panchayat,Kasaragod,87.7972724270417,6.772908460949903,241.7,2018,9365.985645895977,0.8552262663008231,0.018667237525072,,,,,,,,,,,,,,0.027526277179518,0.0,6.0,28.76269616222558,0,0
12,Kumbadaje,gram_panchayat,Kasaragod,97.08632187038512,7.889728272268127,255.5,2018,8842.41492055683,0.9593801066789648,0.0049650558184043,,,,,,,,,,,,,,0.0235043735964776,1.0,6.000000000000002,21.727383630951174,0,1
13,Beloor,gram_panchayat,Kasaragod,118.9200978005273,9.23086128106539,211.6,2018,6940.782499537358,0.9794184791452896,0.0034615898676413,,,,,,,,,,,,,,0.0176778119912287,1.0,6.000000000000001,12.415113062849413,0,1
14,Chengala,gram_panchayat,Kasaragod,77.44442596953873,6.612489468759658,325.7,2018,4190.939984293186,0.8652530099476371,0.0545968584861149,,,,,,,,,,,,,,0.0563430132744972,0.0,5.9999999999999964,105.87827331244507,1,0
15,Karaduka,gram_panchayat,Kasaragod,139.5244599941391,8.35407487859702,267.9,2018,4024.11308748854,0.932251328577859,0.0092740092248831,,,,,,,,,,,,,,0.0619286632800461,1.0,6.000000000000007,100.55195414309642,1,1
