lsgd_id,lsgd_name,lsgd_type,district,elevation,slope,rainfall_7day_mm,event_year_x,dist_to_water_m,vegetation,builtup,fatalities,no_of_landslides,agri_crop_loss_ha,fully_damaged_houses,severely_damaged_houses,roads_damaged_km,bridges_damaged,severity_score,flood_risk_level,landslide_risk_level,flood_occurred,landslide_occurred,event_year_y
415,Edathiruthy,gram_panchayat,Thrissur,7.9284321570278635,2.940860654766179,292.5,2018,2487.406499525161,0.9381265263186526,0.033479669784993824,72.0,26.0,3569.25,2889.0,18241.0,598.0,41.0,0.5109015589882728,Critical,High,1.0,1.0,2018.0
416,Kattoor,gram_panchayat,Thrissur,9.634887029379168,3.378621882490368,292.5,2018,2681.859816120164,0.936333110751421,0.04080556580957426,72.0,26.0,3569.25,2889.0,18241.0,598.0,41.0,0.5109015589882728,Critical,High,1.0,1.0,2018.0
417,Padiyoor,gram_panchayat,Kannur,4.020220968263357,3.0974807901512893,291.9,2018,1954.7287071063301,0.909671587631982,0.01245635656306965,6.0,17.0,926.53,121.0,3216.0,100.0,20.0,0.0738165066155542,Low,High,0.0,1.0,2018.0
418,Vellangalur,gram_panchayat,Thrissur,10.662296770700763,3.76091986327615,393.4,2018,1914.4377012704956,0.8517846997738039,0.03496242161777933,72.0,26.0,3569.25,2889.0,18241.0,598.0,41.0,0.5109015589882728,Critical,High,1.0,1.0,2018.0
419,Puthenchira,gram_panchayat,Thrissur,10.080961946788545,3.5712789204296165,393.4,2018,1630.4889339043743,0.7446421670082399,0.021012583895959905,72.0,26.0,3569.25,2889.0,18241.0,598.0,41.0,0.5109015589882728,Critical,High,1.0,1.0,2018.0
420,Velookkara,gram_panchayat,Thrissur,13.401012045311374,3.429086374810061,393.4,2018,4443.419526303272,0.9135302820613516,0.038065692761338116,72.0,26.0,3569.25,2889.0,18241.0,598.0,41.0,0.5109015589882728,Critical,High,1.0,1.0,2018.0
421,Muriyad,gram_panchayat,Thrissur,10.470267250506616,3.6992260829557018,393.9,2018,1898.0024006446909,0.8454751629387526,0.03997067209923429,72.0,26.0,3569.25,2889.0,18241.0,598.0,41.0,0.5109015589882728,Critical,High,1.0,1.0,2018.0
422,Irinjalakuda,municipality,Thrissur,10.158160964320095,3.5690797355413806,393.9,2018,1674.796358014806,0.7763363803382358,0.12766837777969495,72.0,26.0,3569.25,2889.0,18241.0,598.0,41.0,0.5109015589882728,Critical,High,1.0,1.0,2018.0
423,Parappookkara,gram_panchayat,Thrissur,8.735409758400108,3.4967765913046716,393.9,2018,1476.1502372232467,0.8130750494506894,0.061125612770718776,72.0,26.0,3569.25,2889.0,18241.0,598.0,41.0,0.5109015589882728,Critical,High,1.0,1.0,2018.0
424,Pudukkad,gram_panchayat,Thrissur,17.97442303964001,4.393048253453696,447.8,2018,2441.6194383086827,0.8886747192546389,0.06394014082999579,72.0,26.0,3569.25,2889.0,18241.0,598.0,41.0,0.5109015589882728,Critical,High,1.0,1.0,2018.0
425,Nenmanikkara,gram_panchayat,Thrissur,11.585159374135676,3.724063846854182,447.8,2018,1240.7266126963705,0.7379641701599325,0.12015784280541904,72.0,26.0,3569.25,2889.0,18241.0,598.0,41.0,0.5109015589882728,Critical,High,1.0,1.0,2018.0
426,Alagappanagar,gram_panchayat,Thrissur,28.32351271387721,4.9838095231516535,447.8,2018,3627.603386818335,0.9162655917963932,0.05555385660266244,72.0,26.0,3569.25,2889.0,18241.0,598.0,41.0,0.5109015589882728,Critical,High,1.0,1.0,2018.0
427,Thrikkur,gram_panchayat,Thrissur,49.7756060291096,7.280713450665426,447.8,2018,4028.137192590412,0.9399380517671277,0.033476077844194645,72.0,26.0,3569.25,2889.0,18241.0,598.0,41.0,0.5109015589882728,Critical,High,1.0,1.0,2018.0
428,Karalam,gram_panchayat,Thrissur,7.524630195351472,3.648330026389307,292.5,2018,3394.566017051528,0.9081713872522261,0.025061202818944077,72.0,26.0,3569.25,2889.0,18241.0,598.0,41.0,0.5109015589882728,Critical,High,1.0,1.0,2018.0
429,Poomangalam,gram_panchayat,Thrissur,6.3519822057729005,3.659991719917315,291.9,2018,1661.4460579347483,0.8506959525245114,0.0355980199355095,72.0,26.0,3569.25,2889.0,18241.0,598.0,41.0,0.5109015589882728,Critical,High,1.0,1.0,2018.0
