No,District,NRSC,GSI,New,Type_of_sl,Length,Width,Area,Building_I,Road_impac,Impact_Agr,LU_2010,LU_2018,Specific_r,Remarks,longitude,latitude,Reclass_Sl,RASTERVALU
40,Ernakulam,Y,N,N,DF,0,0,1523.13000000000,0,N,N,FDN,FDN,,,76.52488700000,10.23703500000,4,24.90783882140
41,Ernakulam,Y,N,N,DF,0,0,1355.21000000000,0,N,N,FDN,FDN,,,76.49497000000,10.23073700000,4,24.65281486510
42,Ernakulam,Y,N,N,DF,0,0,20475.10000000000,0,N,N,FDN,FDN,,Built up increased,76.78483000000,10.03614100000,8,41.07336425780
43,Ernakulam,Y,N,N,DF,0,0,7227.84000000000,0,N,N,FDN,FDN,,Built up increased,76.78421600000,10.03659300000,9,46.60583114620
44,Ernakulam,Y,N,N,DF,0,0,3642.70859300000,0,N,FMP,FMP,FMP,,,76.79355200000,10.10350400000,4,20.57041168210
45,Ernakulam,Y,N,N,DF,0,0,1080.68000000000,0,N,FMP,FMP,FMP,,,76.92965700000,10.22999400000,4,20.16839599610
46,Ernakulam,Y,N,N,SS,0,0,29859.70000000000,0,N,FMP,FMP,FMP,1,Built up at toe,76.74604400000,10.11533100000,3,18.23165130620
47,Ernakulam,Y,N,N,DF,0,0,4661.46000000000,0,N,FMP,FMP,FMP,,,76.55205600000,10.25801600000,4,22.97911262510
48,Ernakulam,Y,N,N,SS,0,0,8966.19000000000,0,N,FMP,FMP,FMP,,,76.50161900000,10.23082800000,5,27.53106880190
49,Ernakulam,Y,N,N,DF,0,0,4860.47000000000,0,N,N,FNO,FNO,,,76.80838200000,10.02444100000,9,46.43250274660
50,Ernakulam,Y,N,N,SS,0,0,756.65900000000,0,N,N,FNO,FNO,,,76.75344900000,10.10626000000,6,32.73278427120
51,Ernakulam,Y,N,N,DF,0,0,6715.85000000000,0,N,N,FNO,FNO,,,76.84468500000,10.27869300000,8,41.45613861080
52,Ernakulam,Y,N,N,DF,0,0,790.83500000000,0,N,N,FNO,FNO,,,76.84502800000,10.27524500000,7,37.08703613280
